date,open,high,low,close,dividend
2015-07-28,33.088,33.205,32.6705,32.983,0.0
2015-07-29,33.113,33.1665,32.642,33.0715,0.0
2015-07-30,32.872,33.4025,32.5845,33.228,0.0
2015-07-31,33.235,33.25,32.86,32.875,0.0
2015-08-03,32.883,33.3335,32.883,33.236,0.0
2015-08-04,33.217,33.4,33.0255,33.064,0.0
2015-08-05,33.2875,33.9955,33.279,33.6645,0.0
2015-08-06,33.6995,33.7375,33.0365,33.5075,0.0
2015-08-07,33.389,33.44,32.9435,33.2195,0.0
2015-08-10,33.3545,33.581,33.0115,33.157,0.0
2015-08-11,34.979,35.2,34.216,34.515,0.0
2015-08-12,34.7245,34.8,34.0255,34.5735,0.0
2015-08-13,34.46,34.7015,34.109,34.3255,0.0
2015-08-14,34.202,34.613,34.145,34.4685,0.0
2015-08-17,34.402,34.737,34.153,34.7055,0.0
2015-08-18,34.5535,34.788,34.266,34.4365,0.0
2015-08-19,34.5055,35.01,34.34,34.702,0.0
2015-08-20,34.455,34.808,33.764,33.974,0.0
2015-08-21,33.552,33.6445,32.155,32.2015,0.0
2015-08-24,30.03,31.384,29.6545,30.9055,0.0
2015-08-25,32.3235,32.35,30.5835,30.6235,0.0
2015-08-26,32.155,33.124,31.5185,32.987,0.0
2015-08-27,33.5995,33.699,32.555,33.398,0.0
2015-08-28,33.288,33.35,32.6875,32.9845,0.0
2015-08-31,32.717,33.2205,32.3175,32.391,0.0
2015-09-01,31.6905,32.222,31.253,31.478,0.0
2015-09-02,31.9,32.253,31.532,32.2455,0.0
2015-09-03,32.3965,32.5625,31.6905,31.8525,0.0
2015-09-04,31.485,31.725,31.325,31.448,0.0
2015-09-08,32.05,32.252,31.645,32.194,0.0
2015-09-09,32.594,32.868,32.045,32.1705,0.0
2015-09-10,32.195,32.745,32.085,32.554,0.0
2015-09-11,32.5105,32.7655,32.3705,32.765,0.0
2015-09-14,32.7815,32.796,32.475,32.6235,0.0
2015-09-15,32.8355,33.4425,32.667,33.2535,0.0
2015-09-16,33.2775,33.4035,33.11,33.276,0.0
2015-09-17,33.3745,34.0995,33.25,33.5835,0.0
2015-09-18,33.253,33.492,33.0015,33.046,0.0
2015-09-21,33.2755,33.45,32.9,33.349,0.0
2015-09-22,32.8735,32.941,32.2515,32.66,0.0
2015-09-23,32.645,33.014,32.5365,32.6645,0.0
2015-09-24,32.4485,32.8385,32.1085,32.7455,0.0
2015-09-25,32.929,32.929,31.983,32.0075,0.0
2015-09-28,31.9525,32.1425,30.892,31.2125,0.0
2015-09-29,31.275,31.734,30.9015,31.1305,0.0
2015-09-30,31.5915,31.9655,31.4575,31.9185,0.0
2015-10-01,31.897,32.192,31.556,32.1,0.0
2015-10-02,31.9005,32.85,31.675,32.8495,0.0
2015-10-05,33.08,33.6515,32.7935,33.584,0.0
2015-10-06,33.4675,33.94,33.154,33.582,0.0
2015-10-07,33.87,33.937,32.9055,33.5,0.0
2015-10-08,33.4725,33.5945,32.7245,33.35,0.0
2015-10-09,33.3745,33.7045,33.118,33.562,0.0
2015-10-12,33.4595,33.899,33.362,33.8215,0.0
2015-10-13,33.713,34.423,33.6555,34.1585,0.0
2015-10-14,34.1865,34.502,33.945,34.0205,0.0
2015-10-15,34.2625,34.708,34.2195,34.651,0.0
2015-10-16,34.77,34.811,34.455,34.766,0.0
2015-10-19,34.7,35.012,34.6105,34.9975,0.0
2015-10-20,34.8945,34.9,33.684,34.0,0.0
2015-10-21,34.1605,34.245,33.535,33.59,0.0
2015-10-22,33.772,34.4025,33.585,34.057,0.0
2015-10-23,37.503,37.625,35.897,35.9665,0.0
2015-10-26,36.001,36.7475,36.001,36.556,0.0
2015-10-27,36.3285,36.798,36.207,36.641,0.0
2015-10-28,36.65,36.8685,36.3635,36.846,0.0
2015-10-29,36.8315,37.3395,36.758,37.2425,0.0
2015-10-30,37.278,37.3155,36.8265,36.8695,0.0
2015-11-02,36.7265,37.409,36.5725,37.387,0.0
2015-11-03,37.2715,37.585,37.058,37.441,0.0
2015-11-04,37.495,37.995,37.46,37.7655,0.0
2015-11-05,37.9405,38.3175,37.8735,38.0335,0.0
2015-11-06,37.9695,38.151,37.7515,38.08,0.0
2015-11-09,37.926,38.165,37.4555,37.7385,0.0
2015-11-10,37.674,38.03,37.4205,37.913,0.0
